"title","year","quarter","date","cik","link"
"1 Main Capital","2025","Q4","January 26","","https://static1.squarespace.com/static/5e03bb9dcc191357f10902ad/t/6973f17554de680aa12aad83/1769206133424/Q4%2725+letter.pdf"
"Arquitos Capital","2025","Q4","January 26","","https://mcusercontent.com/2e00b983d572e23abe8bd7a2a/files/ce1766a6-7b86-7547-f75f-79cd575e8f6b/Arquitos_Investor_Letter_Q4_2025.pdf"
"Blue Tower Asset Management","2025","Q4","January 25","","https://static1.squarespace.com/static/54373ea8e4b0152f9d332f13/t/69655563fd48c11f5a6175c9/1768248675610/2025+Q4.pdf"
"Bonhoeffer Partners","2025","Q4","January 24","","https://mcusercontent.com/2511717cdf1bae9a0638c942a/files/4ce92677-66f3-d646-b342-59c9b7cbcc51/Bonhoeffer_Partner_Letter_Q3_2025.pdf"
"Bristlemoon Capital","2025","Q4","January 25","","https://www.bristlemoonresearch.com/p/bristlemoon-december-2025-quarterly"
"Curreen Capital","2025","Q4","February 4","","https://static1.squarespace.com/static/55f99b0ae4b02c9607c0f701/t/697bb4663088b968ca74fda7/1769714790425/Q4+2025+Letter.pdf"
"Desert Lion Capital","2025","Q4","January 8","","https://mcusercontent.com/57cdfc490b101d54b70128c06/files/6000bbb7-5799-4598-d588-3e891ea6181d/SilverRingValuePartners_2025Q3_Letter.pdf"
"Diameter Capital","2025","Q4","January 25","","https://diameter-presents.s3.us-east-1.amazonaws.com/Diameter+Capital+Partners+-+Q4+2025+Letter.pdf"
"Emeth Value","2025","Q4","February 16","","https://www.emethvaluecapital.com/_files/ugd/b2ee4c_a623f4db4919487e9b5db15be48fd620.pdf"
"Equity Management Associates","2025","Q4","January 25","","https://drive.google.com/file/d/1TDiQ-lbWltk9lS62CAwVBvtSSLb4nokB/view"
"Fairlight Fund","2025","Q4","February 3","","https://www.fairlightcapital.com/_files/ugd/a6cb30_2c6c31e59e024979a84cb039ac66819d.pdf"
"Fundsmith","2025","Q4","January 25","","https://www.fundsmith.co.uk/media/4hcfd1pg/2025-fef-annual-letter-web.pdf"
"Greenfield Investment Management","2025","Q4","January 8","","https://drive.google.com/file/d/13APSthiB5RmYBZZiLCd5keqxB00VABCx/view"
"Greenlight Capital","2025","Q4","February 3","","https://drive.google.com/file/d/1moRuJauiwIF9PILWh50vs0Rz9XP0QP9R/view"
"Greystone Capital","2025","Q4","January 25","","https://88ed4599-26c4-4b58-95a2-873503998297.filesusr.com/ugd/47fd79_3f1d4b7645974584998866e0a513b174.pdf"
"Hirscshmann","2025","Q4","February 4","","https://www.hcapital.llc/_files/ugd/dc7287_26dc295e121042f7b32a5f9d5b352efb.pdf?index=true"
"Horizon Kinetics","2025","Q4","January 23","","https://horizonkinetics.com/app/uploads/Founders-Letter-2026_Final.pdf"
"Immersion Investments","2025","Q4","February 4","","https://files.constantcontact.com/920f57ab801/5e8bfbe5-975b-4e98-8a1d-9b5d3ab7cbba.pdf"
"JDP Capital","2025","Q4","February 16","","https://jdpcap.com/wp-content/uploads/2026/02/2025-Annual-Partnership-Letter_final.pdf"
"Kathmandu Capital","2025","Q4","January 25","","https://static1.squarespace.com/static/63465dbda3a3280f2afb25eb/t/6964e898c6b5ef71c0606687/1768220824470/KC+4Q25+Letter+to+Investors+Final.pdf"
"Kerrisdale Capital – Long Thesis on TD","2025","Q4","January 8","","https://www.oaktreecapital.com/docs/default-source/memos/is-it-a-bubble.pdf?sfvrsn=d4a92866_3"
"Kerrisdale Capital – Short Thesis on Affirm","2025","Q4","January 24","","https://www.kerrisdalecap.com/wp-content/uploads/2026/01/Affirm-Kerrisdale.pdf"
"Legacy Ridge","2025","Q4","February 4","","https://www.legacyridgecapital.com/wp-content/uploads/2026/02/LRCM-2025-Letter.pdf"
"Lyrical Asset Management","2025","Q4","February 4","","https://blog.lyricalam.com/hubfs/AAA_Marketing_Material/Letters/2025%20Review%20Letter/LAM-2025-US-Review-Letter.pdf"
"MSA Capital","2025","Q4","February 3","","https://www.msa-capital.de/_files/ugd/6fc4ac_76ac377c50a24265b1fc21d7544744a7.pdf"
"Pantera – Navigating Crypto in 2026","2025","Q4","February 4","","https://panteracapital.com/blockchain-letter/navigating-crypto-in-2026/"
"Pernas Research","2025","Q4","January 25","","https://pernasresearch.com/quarterly/2025-q4-investment-letter/"
"Pershing Square","2025","Q4","February 16","","https://assets.pershingsquareholdings.com/wp-content/uploads/2026/02/11144917/2026-Annual-Investor-Presentation.pdf"
"Plural Investing","2025","Q4","January 25","","https://mcusercontent.com/0621b1ecf16131aced159c001/files/15f68f80-aabc-bf71-d2a3-f4f1519740a4/Plural_Partners_Fund_Letter_2025_Q4.pdf?mc_cid=4d81765bd3"
"Robotti","2025","Q4","February 16","","https://advisors.robotti.com/wp-content/uploads/Robotti-Company-Advisors-YE-2025-Letter-w-disc.pdf"
"Rowan Street","2025","Q4","February 16","","https://alexkopel.substack.com/p/rowan-street-2025-year-end-letter"
"Rubicon Fund","2025","Q4","February 3","","https://valueandopportunity.com/wp-content/uploads/2026/02/letter_h2_2025-1.pdf"
"Sequoia","2025","Q4","February 16","","https://www.ruanecunniff.com/wp-content/uploads/2026/02/Sequoia-Strategy-Year-End-2025-Letter.pdf"
"Silver Ring Partners","2025","Q4","February 15","","https://mcusercontent.com/57cdfc490b101d54b70128c06/files/1329d8fb-1b34-a72a-8205-789c62e5eed3/SilverRingValuePartners_2025Q4_Letter.pdf"
"Sohra Peak","2025","Q4","February 4","","https://mcusercontent.com/3fff1ea9d792aab7f6dffe0ab/files/52cbe8aa-eb9e-9a36-2582-67ae3069f2fa/Sohra_Peak_Capital_Partners_Partnership_Letter_Q4_2025.pdf"
"Spruce Point – SGHC","2025","Q4","February 16","","https://cdn.prod.website-files.com/64dd091f91b3ca8e6309dc0d/698dda43ab1475370340d002_sghc_research_thesis_2-12-2026.pdf"
"Tectonic Investors","2025","Q4","January 23","","https://files.constantcontact.com/403e24bc901/eec7a07e-ad4e-44d5-b24c-95da84ba0bb1.pdf"
"Third Point Capital","2025","Q4","February 16","","https://assets-malibu-life.s3.us-west-2.amazonaws.com/system/uploads/fae/file/asset/1689/Third_Point_Q4_2025_Investor_Letter_TPIL.pdf"
"Tsai Capital","2025","Q4","January 25","","https://tsaicapital.com/files/Tsai-Capital-Annual-Investor-Letter-2025.pdf"
"Upslope Capital","2025","Q4","January 25","","https://static1.squarespace.com/static/58f7798829687f53ff30baf8/t/696659036e5e6547fca2ae9c/1768315139933/Upslope+-+2025Q4+Letter.pdf"
"Vltava Fund","2025","Q4","January 24","","https://www.vltavafund.com/dopisy-akcionarum/latinos"
"Warden Capital","2025","Q4","February 3","","https://warcap.substack.com/p/warden-2025-year-end-letter"
"Wedgewood Partners","2025","Q4","January 25","","https://wedgewoodpartners.com/wp-content/uploads/2026/01/WW_4Q2025ClientLetter.pdf"
